,slot,parent_hash,block_hash,builder_pubkey,proposer_pubkey,proposer_fee_recipient,gas_limit,gas_used,value,num_tx,block_number,timestamp_ms,timestamp,relay,builder_label,slot_time,max_bid
0,8388570,0x91a9e59fb41f485f7d165a36ef75f062d94e3c87934a3bd4df76ad38af1b5a64,0x843797f9a86f00c708e5822a16145079cde8c82c69fc2a30386d4e4882f28713,0xb211df498dfd8b1956252efa4caa81c351a4dde4a50237b3b62034df1881067aede88886053247450ea41b60cc96df7c,0xae9fa16ea01efe9393a66d683535915c4843ad35b704b979f460913674cc59d55c40c97b1d06c85a75d1b260174e03d9,0xA8C62111e4652b07110A0FC81816303c42632f64,30000000,18103958,144703139716760330,199,19190997,1707486857204,1707486857,bloxroute_max_profit,,6204,144703139716760330
1,8388570,0x91a9e59fb41f485f7d165a36ef75f062d94e3c87934a3bd4df76ad38af1b5a64,0x3d44a131d9187a46c8a6cae5807eed0d1d9d69b9ab0f6718e19de1b99d632e94,0xb211df498dfd8b1956252efa4caa81c351a4dde4a50237b3b62034df1881067aede88886053247450ea41b60cc96df7c,0xae9fa16ea01efe9393a66d683535915c4843ad35b704b979f460913674cc59d55c40c97b1d06c85a75d1b260174e03d9,0xA8C62111e4652b07110A0FC81816303c42632f64,30000000,18103958,6412031397167603,199,19190997,1707486857417,1707486857,bloxroute_max_profit,,6417,144703139716760330
2,8388570,0x91a9e59fb41f485f7d165a36ef75f062d94e3c87934a3bd4df76ad38af1b5a64,0x8ae2c26627ede3eee4c741a73a10ac82030d2fba1d5578695d9539ac08d15409,0xb211df498dfd8b1956252efa4caa81c351a4dde4a50237b3b62034df1881067aede88886053247450ea41b60cc96df7c,0xae9fa16ea01efe9393a66d683535915c4843ad35b704b979f460913674cc59d55c40c97b1d06c85a75d1b260174e03d9,0xA8C62111e4652b07110A0FC81816303c42632f64,30000000,19178802,6425632014772078,211,19190997,1707486860188,1707486860,bloxroute_max_profit,,9188,144703139716760330
3,8388570,0x91a9e59fb41f485f7d165a36ef75f062d94e3c87934a3bd4df76ad38af1b5a64,0xebfeb27a2c3c16c4211548dad202b10e2fb067f161a5a4f0786c6de043d7b281,0xb211df498dfd8b1956252efa4caa81c351a4dde4a50237b3b62034df1881067aede88886053247450ea41b60cc96df7c,0xae9fa16ea01efe9393a66d683535915c4843ad35b704b979f460913674cc59d55c40c97b1d06c85a75d1b260174e03d9,0xA8C62111e4652b07110A0FC81816303c42632f64,30000000,19411929,6466367474817233,214,19190997,1707486860270,1707486860,bloxroute_max_profit,,9270,144703139716760330
4,8388570,0x91a9e59fb41f485f7d165a36ef75f062d94e3c87934a3bd4df76ad38af1b5a64,0xcb5ee73177e37803f3edbb95e21de8291b0a582d14e7989ccfe01e4f9fb419d3,0x840c9dafb68f5cd460b5d5677b85114e89187e7c890f11a8c5fc4a3e4f4aa74136ef0fcd62cf7de9741afcf7d4d3360d,0xae9fa16ea01efe9393a66d683535915c4843ad35b704b979f460913674cc59d55c40c97b1d06c85a75d1b260174e03d9,0xA8C62111e4652b07110A0FC81816303c42632f64,30000000,17280679,6222827113283098,221,19190997,1707486860824,1707486860,bloxroute_regulated,,9824,144703139716760330
5,8388570,0x91a9e59fb41f485f7d165a36ef75f062d94e3c87934a3bd4df76ad38af1b5a64,0xcb5ee73177e37803f3edbb95e21de8291b0a582d14e7989ccfe01e4f9fb419d3,0x840c9dafb68f5cd460b5d5677b85114e89187e7c890f11a8c5fc4a3e4f4aa74136ef0fcd62cf7de9741afcf7d4d3360d,0xae9fa16ea01efe9393a66d683535915c4843ad35b704b979f460913674cc59d55c40c97b1d06c85a75d1b260174e03d9,0xA8C62111e4652b07110A0FC81816303c42632f64,30000000,17280679,6222827113283098,221,19190997,1707486860835,1707486860,bloxroute_max_profit,,9835,144703139716760330
6,8388570,0x91a9e59fb41f485f7d165a36ef75f062d94e3c87934a3bd4df76ad38af1b5a64,0x3953d17c68f67b413bf687cb275d2f9790c5fd00d9e29e60c3ec816eb722fa4e,0xabcf636b7081e47edf77cf3f42b9e8b0c3a27a049b8eef3fa810ce6f7262036bea1910bc36a9a4791e8ee21587b82bf3,0xae9fa16ea01efe9393a66d683535915c4843ad35b704b979f460913674cc59d55c40c97b1d06c85a75d1b260174e03d9,0xA8C62111e4652b07110A0FC81816303c42632f64,30000000,16934521,6243625189043262,221,19190997,1707486860918,1707486860,bloxroute_max_profit,,9918,144703139716760330
7,8388570,0x91a9e59fb41f485f7d165a36ef75f062d94e3c87934a3bd4df76ad38af1b5a64,0x2416f13ccfaad97bc3d5c9dbc20eb4e78649b51d21f66be293f6aeb5f8e28385,0x840c9dafb68f5cd460b5d5677b85114e89187e7c890f11a8c5fc4a3e4f4aa74136ef0fcd62cf7de9741afcf7d4d3360d,0xae9fa16ea01efe9393a66d683535915c4843ad35b704b979f460913674cc59d55c40c97b1d06c85a75d1b260174e03d9,0xA8C62111e4652b07110A0FC81816303c42632f64,30000000,16098557,6285933152486365,202,19190997,1707486860926,1707486860,bloxroute_regulated,,9926,144703139716760330
8,8388570,0x91a9e59fb41f485f7d165a36ef75f062d94e3c87934a3bd4df76ad38af1b5a64,0x2416f13ccfaad97bc3d5c9dbc20eb4e78649b51d21f66be293f6aeb5f8e28385,0x840c9dafb68f5cd460b5d5677b85114e89187e7c890f11a8c5fc4a3e4f4aa74136ef0fcd62cf7de9741afcf7d4d3360d,0xae9fa16ea01efe9393a66d683535915c4843ad35b704b979f460913674cc59d55c40c97b1d06c85a75d1b260174e03d9,0xA8C62111e4652b07110A0FC81816303c42632f64,30000000,16098557,6285933152486365,202,19190997,1707486860927,1707486860,bloxroute_max_profit,,9927,144703139716760330
9,8388570,0x91a9e59fb41f485f7d165a36ef75f062d94e3c87934a3bd4df76ad38af1b5a64,0x2a7cb599966b5bbcb1c7cca2eb1093aa69ac90bbfcef1cff4ae67f99c0b79f3f,0x840c9dafb68f5cd460b5d5677b85114e89187e7c890f11a8c5fc4a3e4f4aa74136ef0fcd62cf7de9741afcf7d4d3360d,0xae9fa16ea01efe9393a66d683535915c4843ad35b704b979f460913674cc59d55c40c97b1d06c85a75d1b260174e03d9,0xA8C62111e4652b07110A0FC81816303c42632f64,30000000,17429934,6286149565492400,222,19190997,1707486860948,1707486860,bloxroute_regulated,,9948,144703139716760330
