,block_number,block_slot,block_time,validator_index,withdrawal_amount,withdrawal_recipient
0,19265741,8464140,2024-02-20 01:48:23.000 UTC,535952,0.018064402,0x8306300ffd616049fd7e4b0354a64da835c1a81c
1,19265741,8464140,2024-02-20 01:48:23.000 UTC,535953,0.017987878,0x8306300ffd616049fd7e4b0354a64da835c1a81c
2,19265741,8464140,2024-02-20 01:48:23.000 UTC,535954,0.018019596,0x8306300ffd616049fd7e4b0354a64da835c1a81c
3,19265741,8464140,2024-02-20 01:48:23.000 UTC,535955,0.017998772,0x8306300ffd616049fd7e4b0354a64da835c1a81c
4,19265741,8464140,2024-02-20 01:48:23.000 UTC,535956,0.018047133,0x8306300ffd616049fd7e4b0354a64da835c1a81c
5,19265741,8464140,2024-02-20 01:48:23.000 UTC,535957,0.017973471,0x8306300ffd616049fd7e4b0354a64da835c1a81c
6,19265741,8464140,2024-02-20 01:48:23.000 UTC,535958,0.01802774,0x8306300ffd616049fd7e4b0354a64da835c1a81c
7,19265741,8464140,2024-02-20 01:48:23.000 UTC,535959,0.017984183,0x8306300ffd616049fd7e4b0354a64da835c1a81c
8,19265741,8464140,2024-02-20 01:48:23.000 UTC,535960,0.018043378,0x8306300ffd616049fd7e4b0354a64da835c1a81c
9,19265741,8464140,2024-02-20 01:48:23.000 UTC,535961,0.018035106,0x8306300ffd616049fd7e4b0354a64da835c1a81c
10,19265741,8464140,2024-02-20 01:48:23.000 UTC,535965,0.018030403,0x8306300ffd616049fd7e4b0354a64da835c1a81c
11,19265741,8464140,2024-02-20 01:48:23.000 UTC,535966,0.017986824,0x8306300ffd616049fd7e4b0354a64da835c1a81c
12,19265741,8464140,2024-02-20 01:48:23.000 UTC,535967,0.017999112,0x8306300ffd616049fd7e4b0354a64da835c1a81c
13,19265178,8463574,2024-02-19 23:55:11.000 UTC,526734,0.01804702,0x8306300ffd616049fd7e4b0354a64da835c1a81c
14,19265051,8463446,2024-02-19 23:29:35.000 UTC,523549,0.018018394,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
15,19264637,8463030,2024-02-19 22:06:23.000 UTC,514360,0.018081078,0xd11d7d2cb0aff72a61df37fd016ee1bd9f180633
16,19264637,8463030,2024-02-19 22:06:23.000 UTC,514359,0.018095501,0xd11d7d2cb0aff72a61df37fd016ee1bd9f180633
17,19264637,8463030,2024-02-19 22:06:23.000 UTC,514358,0.018077104,0xd11d7d2cb0aff72a61df37fd016ee1bd9f180633
18,19264637,8463030,2024-02-19 22:06:23.000 UTC,514357,0.018029659,0xd11d7d2cb0aff72a61df37fd016ee1bd9f180633
19,19264637,8463030,2024-02-19 22:06:23.000 UTC,514356,0.018048257,0xd11d7d2cb0aff72a61df37fd016ee1bd9f180633
20,19264637,8463030,2024-02-19 22:06:23.000 UTC,514355,0.018072848,0xd11d7d2cb0aff72a61df37fd016ee1bd9f180633
21,19264191,8462578,2024-02-19 20:35:59.000 UTC,505046,0.01807787,0x8306300ffd616049fd7e4b0354a64da835c1a81c
22,19264191,8462578,2024-02-19 20:35:59.000 UTC,505047,0.018081054,0x8306300ffd616049fd7e4b0354a64da835c1a81c
23,19264191,8462578,2024-02-19 20:35:59.000 UTC,505045,0.018018942,0x8306300ffd616049fd7e4b0354a64da835c1a81c
24,19264191,8462578,2024-02-19 20:35:59.000 UTC,505041,0.018085136,0x8306300ffd616049fd7e4b0354a64da835c1a81c
25,19264191,8462578,2024-02-19 20:35:59.000 UTC,505042,0.018029635,0x8306300ffd616049fd7e4b0354a64da835c1a81c
26,19264191,8462578,2024-02-19 20:35:59.000 UTC,505043,0.018060898,0x8306300ffd616049fd7e4b0354a64da835c1a81c
27,19264191,8462578,2024-02-19 20:35:59.000 UTC,505044,0.018043539,0x8306300ffd616049fd7e4b0354a64da835c1a81c
28,19264175,8462562,2024-02-19 20:32:47.000 UTC,504746,0.01806993,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
29,19263831,8462217,2024-02-19 19:23:47.000 UTC,497646,0.018088716,0x8306300ffd616049fd7e4b0354a64da835c1a81c
30,19263831,8462217,2024-02-19 19:23:47.000 UTC,497656,0.061147657,0x8306300ffd616049fd7e4b0354a64da835c1a81c
31,19263252,8461633,2024-02-19 17:26:59.000 UTC,485074,0.018000859,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
32,19263252,8461633,2024-02-19 17:26:59.000 UTC,485076,0.018018568,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
33,19263016,8461394,2024-02-19 16:39:11.000 UTC,480670,0.018033393,0x2990555a8139b4b4bbf8ebcbcf9eccd763727088
34,19263016,8461394,2024-02-19 16:39:11.000 UTC,480671,0.018072398,0x2990555a8139b4b4bbf8ebcbcf9eccd763727088
35,19263016,8461394,2024-02-19 16:39:11.000 UTC,480672,0.018079198,0x2990555a8139b4b4bbf8ebcbcf9eccd763727088
36,19263016,8461394,2024-02-19 16:39:11.000 UTC,480673,0.018070996,0x2990555a8139b4b4bbf8ebcbcf9eccd763727088
37,19263016,8461394,2024-02-19 16:39:11.000 UTC,480674,0.017986213,0x2990555a8139b4b4bbf8ebcbcf9eccd763727088
38,19263016,8461394,2024-02-19 16:39:11.000 UTC,480675,0.018051104,0x2990555a8139b4b4bbf8ebcbcf9eccd763727088
39,19263016,8461394,2024-02-19 16:39:11.000 UTC,480676,0.018028532,0x2990555a8139b4b4bbf8ebcbcf9eccd763727088
40,19263016,8461394,2024-02-19 16:39:11.000 UTC,480677,0.018060952,0x2990555a8139b4b4bbf8ebcbcf9eccd763727088
41,19263016,8461394,2024-02-19 16:39:11.000 UTC,480678,0.061557918,0x2990555a8139b4b4bbf8ebcbcf9eccd763727088
42,19263016,8461394,2024-02-19 16:39:11.000 UTC,480679,0.018055428,0x2990555a8139b4b4bbf8ebcbcf9eccd763727088
43,19263016,8461394,2024-02-19 16:39:11.000 UTC,480680,0.018021841,0x2990555a8139b4b4bbf8ebcbcf9eccd763727088
44,19263016,8461394,2024-02-19 16:39:11.000 UTC,480681,0.017976135,0x2990555a8139b4b4bbf8ebcbcf9eccd763727088
45,19263016,8461394,2024-02-19 16:39:11.000 UTC,480682,0.018065867,0x2990555a8139b4b4bbf8ebcbcf9eccd763727088
46,19263016,8461394,2024-02-19 16:39:11.000 UTC,480683,0.018041008,0x2990555a8139b4b4bbf8ebcbcf9eccd763727088
47,19263016,8461394,2024-02-19 16:39:11.000 UTC,480684,0.018072853,0x2990555a8139b4b4bbf8ebcbcf9eccd763727088
48,19263016,8461394,2024-02-19 16:39:11.000 UTC,480685,0.061334485,0x2990555a8139b4b4bbf8ebcbcf9eccd763727088
49,19262315,8460681,2024-02-19 14:16:35.000 UTC,466431,0.018037944,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
50,19261995,8460360,2024-02-19 13:12:23.000 UTC,460330,0.018001404,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
51,19261875,8460236,2024-02-19 12:47:35.000 UTC,458157,0.061366015,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
52,19260580,8458924,2024-02-19 08:25:11.000 UTC,432855,0.018025543,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
53,19259367,8457694,2024-02-19 04:19:11.000 UTC,406394,0.018000655,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
54,19259367,8457694,2024-02-19 04:19:11.000 UTC,406393,0.018020456,0x7e2a2fa2a064f693f0a55c5639476d913ff12d05
55,19253910,8452152,2024-02-18 09:50:47.000 UTC,280553,0.061009781,0x801c3cf25d7c06204d7c24357f2b6a49b66f1003
56,19252671,8450895,2024-02-18 05:39:23.000 UTC,235739,0.018053269,0xa8c62111e4652b07110a0fc81816303c42632f64
57,19252671,8450895,2024-02-18 05:39:23.000 UTC,235740,0.018092663,0xa8c62111e4652b07110a0fc81816303c42632f64
58,19252671,8450895,2024-02-18 05:39:23.000 UTC,235741,0.018091951,0xa8c62111e4652b07110a0fc81816303c42632f64
59,19252671,8450895,2024-02-18 05:39:23.000 UTC,235742,0.018064037,0xa8c62111e4652b07110a0fc81816303c42632f64
60,19252671,8450895,2024-02-18 05:39:23.000 UTC,235743,0.018072281,0xa8c62111e4652b07110a0fc81816303c42632f64
61,19252671,8450895,2024-02-18 05:39:23.000 UTC,235744,0.01805319,0xa8c62111e4652b07110a0fc81816303c42632f64
62,19252671,8450895,2024-02-18 05:39:23.000 UTC,235745,0.018084613,0xa8c62111e4652b07110a0fc81816303c42632f64
63,19252671,8450895,2024-02-18 05:39:23.000 UTC,235746,0.018071319,0xa8c62111e4652b07110a0fc81816303c42632f64
64,19252671,8450895,2024-02-18 05:39:23.000 UTC,235747,0.018065523,0xa8c62111e4652b07110a0fc81816303c42632f64
65,19252671,8450895,2024-02-18 05:39:23.000 UTC,235748,0.018109192,0xa8c62111e4652b07110a0fc81816303c42632f64
66,19252671,8450895,2024-02-18 05:39:23.000 UTC,235749,0.018073374,0xa8c62111e4652b07110a0fc81816303c42632f64
67,19252671,8450895,2024-02-18 05:39:23.000 UTC,235738,0.018099139,0xa8c62111e4652b07110a0fc81816303c42632f64
68,19246793,8444940,2024-02-17 09:48:23.000 UTC,78966,0.018048015,0xa8c62111e4652b07110a0fc81816303c42632f64
69,19246793,8444940,2024-02-17 09:48:23.000 UTC,78956,0.018040349,0xa8c62111e4652b07110a0fc81816303c42632f64
70,19246793,8444940,2024-02-17 09:48:23.000 UTC,78954,0.018118831,0xa8c62111e4652b07110a0fc81816303c42632f64
71,19246793,8444940,2024-02-17 09:48:23.000 UTC,78964,0.018092021,0xa8c62111e4652b07110a0fc81816303c42632f64
72,19246793,8444940,2024-02-17 09:48:23.000 UTC,78965,0.018113113,0xa8c62111e4652b07110a0fc81816303c42632f64
73,19246793,8444940,2024-02-17 09:48:23.000 UTC,78961,0.01802294,0xa8c62111e4652b07110a0fc81816303c42632f64
74,19246793,8444940,2024-02-17 09:48:23.000 UTC,78952,0.018113994,0xa8c62111e4652b07110a0fc81816303c42632f64
75,19246793,8444940,2024-02-17 09:48:23.000 UTC,78960,0.018060101,0xa8c62111e4652b07110a0fc81816303c42632f64
76,19246793,8444940,2024-02-17 09:48:23.000 UTC,78963,0.061157459,0xa8c62111e4652b07110a0fc81816303c42632f64
77,19246793,8444940,2024-02-17 09:48:23.000 UTC,78959,0.018036134,0xa8c62111e4652b07110a0fc81816303c42632f64
78,19246793,8444940,2024-02-17 09:48:23.000 UTC,78962,0.018043533,0xa8c62111e4652b07110a0fc81816303c42632f64
79,19246793,8444940,2024-02-17 09:48:23.000 UTC,78953,0.018057075,0xa8c62111e4652b07110a0fc81816303c42632f64
80,19246793,8444940,2024-02-17 09:48:23.000 UTC,78958,0.018111874,0xa8c62111e4652b07110a0fc81816303c42632f64
81,19246793,8444940,2024-02-17 09:48:23.000 UTC,78957,0.018065628,0xa8c62111e4652b07110a0fc81816303c42632f64
82,19246793,8444940,2024-02-17 09:48:23.000 UTC,78967,0.018048833,0xa8c62111e4652b07110a0fc81816303c42632f64
83,19246793,8444940,2024-02-17 09:48:23.000 UTC,78955,0.018121944,0xa8c62111e4652b07110a0fc81816303c42632f64
84,19246516,8444661,2024-02-17 08:52:35.000 UTC,65145,32.012492994,0xbc5a4a09450b4106be9a4df3d85da3f4617e819f
85,19246516,8444661,2024-02-17 08:52:35.000 UTC,65154,0.018148221,0xbc5a4a09450b4106be9a4df3d85da3f4617e819f
